,song_link,id,release_year,duration_ms.x,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7488,https://open.spotify.com/track/337IyICya9hN6BR6pxxAM8,337IyICya9hN6BR6pxxAM8,2006,208693,FALSE,Happy Xmas (War Is Over) (feat. The Sarah McLachlan Music Outreach Children's Choir and Youth Choir),46.0,0.407,0.544,4.0,-5.945,1.0,0.026,0.0953,1.46e-06,0.085,0.275,147.946,3.0
7490,https://open.spotify.com/track/338VhnERUjSnXmIFGuxonu,338VhnERUjSnXmIFGuxonu,2005,265213,TRUE,Mo City Don,51.0,0.758,0.843,6.0,-3.564,1.0,0.266,0.0217,2.44e-05,0.412,0.378,98.037,4.0
7491,https://open.spotify.com/track/339GcX2du8enEuP9k8N9NT,339GcX2du8enEuP9k8N9NT,2020,132117,FALSE,Late Night Victory,54.0,0.172,0.798,1.0,-11.558,1.0,0.0752,0.0155,0.931,0.229,0.134,106.706,4.0
7492,https://open.spotify.com/track/339Y993TrFyWyO438be0RY,339Y993TrFyWyO438be0RY,2019,229400,FALSE,Better,65.0,0.692,0.552,0.0,-9.543,0.0,0.0497,0.0503,0.165,0.136,0.15,98.028,4.0
7493,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A,33b2wX9d0kxqxhi7lcsC1A,2018,218386,FALSE,Unica,67.0,0.653,0.859,0.0,-3.048,1.0,0.0449,0.212,0.0,0.111,0.706,174.038,4.0
7495,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,33bnxcjePIkcmNjEFTJX0l,2017,220116,FALSE,Déjala Que Vuelva (feat. Manuel Turizo,68.0,0.681,0.788,1.0,-4.323,1.0,0.0785,0.0482,0.0,0.0753,0.839,170.019,4.0
7496,https://open.spotify.com/track/33bURv895AN4FkBvgFo2dx,33bURv895AN4FkBvgFo2dx,2017,278800,FALSE,Woman,72.0,0.624,0.647,3.0,-4.68,0.0,0.0335,0.0169,0.0038,0.221,0.379,136.022,4.0
7498,https://open.spotify.com/track/33D4pbXxIko7x4enxc9mdg,33D4pbXxIko7x4enxc9mdg,2020,279725,TRUE,Another Day,52.0,0.518,0.599,7.0,-9.159,1.0,0.366,0.061,0.0,0.677,0.287,172.093,4.0
7501,https://open.spotify.com/track/33HO2V42Tc6xE0SbCg6vBj,33HO2V42Tc6xE0SbCg6vBj,2020,223944,TRUE,Quicksand,66.0,0.901,0.673,4.0,-6.545,0.0,0.314,0.0761,0.0,0.143,0.561,119.97,4.0
7502,https://open.spotify.com/track/33i3xxHB4YSYGYbtJrwwO8,33i3xxHB4YSYGYbtJrwwO8,2017,194080,TRUE,Foreword (feat. Rex Orange County),63.0,0.734,0.671,1.0,-7.107,1.0,0.0315,0.118,0.00317,0.352,0.113,94.025,4.0
7503,https://open.spotify.com/track/33iv3wnGMrrDugd7GBso1z,33iv3wnGMrrDugd7GBso1z,1999,169026,TRUE,My Own Worst Enemy,71.0,0.494,0.946,4.0,-2.757,1.0,0.0637,0.00129,0.0,0.398,0.741,103.408,4.0
7506,https://open.spotify.com/track/33LC84JgLvK2KuW43MfaNq,33LC84JgLvK2KuW43MfaNq,1997,280000,FALSE,"My Heart Will Go On - Love Theme from ""Titanic""",75.0,0.428,0.276,4.0,-11.729,1.0,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,1.0
7507,https://open.spotify.com/track/33Lg8B5RACx6b01VY49LjO,33Lg8B5RACx6b01VY49LjO,2020,137798,FALSE,Quarantine Inspirations,45.0,0.678,0.537,7.0,-12.427,1.0,0.0701,0.024,0.881,0.115,0.264,83.55,4.0
7509,https://open.spotify.com/track/33n9hKYymXgXV0p6j2zYp9,33n9hKYymXgXV0p6j2zYp9,2020,189115,FALSE,Bummerland,65.0,0.629,0.833,1.0,-7.219,0.0,0.0855,0.124,0.0,0.159,0.653,80.968,4.0
7512,https://open.spotify.com/track/33QRsLBBdWDYgCZfWEZqR6,33QRsLBBdWDYgCZfWEZqR6,2015,173045,TRUE,The Fix (feat. Jeremih),65.0,0.812,0.479,8.0,-6.47,1.0,0.0429,0.0485,0.0,0.102,0.0873,95.505,4.0
7513,https://open.spotify.com/track/33QXHN1SzNgHIRPr7qYknV,33QXHN1SzNgHIRPr7qYknV,2020,133723,TRUE,PIKACHU,76.0,0.747,0.487,7.0,-7.064,1.0,0.125,0.0662,0.0,0.36,0.248,92.978,4.0
7514,https://open.spotify.com/track/33RwTVxUFRugu4MqU6ivNF,33RwTVxUFRugu4MqU6ivNF,2019,282374,TRUE,Want Some More (feat. Kodak Black),56.0,0.801,0.427,0.0,-10.594,1.0,0.286,0.223,0.0,0.11,0.255,84.949,4.0
7515,https://open.spotify.com/track/33SNO8AaciGbNaQFkxvPrW,33SNO8AaciGbNaQFkxvPrW,2017,176386,FALSE,Kiwi,79.0,0.375,0.93,2.0,-2.631,1.0,0.0561,0.00064,0.0,0.318,0.491,147.124,4.0
7522,https://open.spotify.com/track/33WXUh74RZ4CEfUkpJwHWE,33WXUh74RZ4CEfUkpJwHWE,2020,270476,FALSE,Urantia,59.0,0.297,0.908,5.0,-3.173,0.0,0.0415,9.95e-06,0.848,0.14,0.27,110.936,5.0
7526,https://open.spotify.com/track/33ZXjLCpiINn8eQIDYEPTD,33ZXjLCpiINn8eQIDYEPTD,1995,325506,TRUE,"Shook Ones, Pt. II",74.0,0.763,0.786,10.0,-6.472,0.0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4.0
7528,https://open.spotify.com/track/341lTIxmhybbQsgydwJiFx,341lTIxmhybbQsgydwJiFx,2020,141122,TRUE,Stuntin' On You (feat. DaBaby),77.0,0.796,0.683,10.0,-5.165,0.0,0.277,0.0111,2.58e-06,0.126,0.737,173.852,3.0
7533,https://open.spotify.com/track/349Wc5mDu52d4Uv8Eg9WZv,349Wc5mDu52d4Uv8Eg9WZv,2019,173473,FALSE,Indigo,67.0,0.819,0.664,7.0,-5.612,1.0,0.0828,0.0958,1.75e-06,0.263,0.71,144.988,4.0
7534,https://open.spotify.com/track/34A2accnIDPOhkRltN8KJY,34A2accnIDPOhkRltN8KJY,2018,126250,FALSE,Call me,70.0,0.748,0.265,8.0,-12.074,0.0,0.229,0.952,0.917,0.0866,0.14,77.009,4.0
7536,https://open.spotify.com/track/34bqWuFJ4X1A3vCObPSNHD,34bqWuFJ4X1A3vCObPSNHD,2010,223826,FALSE,As She's Walking Away (feat. Alan Jackson),62.0,0.553,0.619,3.0,-7.101,1.0,0.0308,0.479,0.0,0.123,0.376,183.908,4.0
7539,https://open.spotify.com/track/34dkZZNQJzEJRqPkywYmEY,34dkZZNQJzEJRqPkywYmEY,2008,472695,FALSE,A Quick One Before the Eternal Worm Devours Connecticut,52.0,0.365,0.172,9.0,-19.388,1.0,0.0336,0.608,0.93,0.305,0.0369,74.53,3.0
7541,https://open.spotify.com/track/34eVjAbZ5CzAtZIVMDHL1C,34eVjAbZ5CzAtZIVMDHL1C,2014,195136,FALSE,El Karma,63.0,0.687,0.484,2.0,-6.511,1.0,0.0325,0.694,7.12e-05,0.0931,0.815,94.966,3.0
7542,https://open.spotify.com/track/34FWzxRaGdAZyGQz0krlHF,34FWzxRaGdAZyGQz0krlHF,1972,259426,FALSE,Amie - Remastered 1988,61.0,0.372,0.346,9.0,-15.268,1.0,0.0331,0.374,0.0,0.126,0.442,176.964,4.0
7543,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,34gCuhDGsG4bRPIf9bb02f,2014,281560,FALSE,Thinking out Loud,84.0,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,4.0
7547,https://open.spotify.com/track/34hoVcS0YCuUCzx1aFENjq,34hoVcS0YCuUCzx1aFENjq,2016,263337,TRUE,Keep Floatin',57.0,0.697,0.716,5.0,-6.671,0.0,0.151,0.0795,0.0,0.139,0.348,140.082,4.0
