,song_link,id,release_year,duration_ms.x,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl,000xQL6tZNLJzIrtIgxqSl,2017,188490,FALSE,Still Got Time (feat. PARTYNEXTDOOR),63.0,0.748,0.627,7.0,-6.029,1.0,0.0639,0.131,0.0,0.0852,0.524,120.963,4.0
1,https://open.spotify.com/track/001UkMQHw4zXfFNdKpwXAF,001UkMQHw4zXfFNdKpwXAF,2019,191053,FALSE,Brand New Man - with Luke Combs,68.0,0.573,0.846,7.0,-4.866,1.0,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,4.0
5,https://open.spotify.com/track/007EFIByaEW4dgEcIbfBg9,007EFIByaEW4dgEcIbfBg9,2018,170626,FALSE,Hasta Que un dí,58.0,0.684,0.564,10.0,-6.852,1.0,0.0297,0.425,0.0,0.152,0.368,134.958,4.0
7,https://open.spotify.com/track/009thiR2SWpG6jXqXYX2AT,009thiR2SWpG6jXqXYX2AT,2020,152784,FALSE,Cuantas Amantes,53.0,0.754,0.169,4.0,-14.999,0.0,0.054,0.965,0.872,0.114,0.422,93.952,4.0
8,https://open.spotify.com/track/00bOuKgzbRkOHmgCAL7ChZ,00bOuKgzbRkOHmgCAL7ChZ,2019,271680,FALSE,Zoning,50.0,0.629,0.877,7.0,-4.642,1.0,0.0402,0.0289,0.408,0.106,0.0369,104.978,4.0
10,https://open.spotify.com/track/00cBcYOlnHoXX9ver3cmdE,00cBcYOlnHoXX9ver3cmdE,2020,225680,FALSE,A Little Bit Yours,74.0,0.598,0.295,1.0,-8.553,1.0,0.0276,0.735,0.0,0.107,0.314,87.025,4.0
11,https://open.spotify.com/track/00ETaeHUQ6lops3oWU1Wrt,00ETaeHUQ6lops3oWU1Wrt,2020,199007,FALSE,Hot Stuff,77.0,0.681,0.773,5.0,-5.749,1.0,0.148,0.019,1.28e-06,0.11,0.429,119.961,4.0
12,https://open.spotify.com/track/00geGCe2BVyuqj1vkNJSBn,00geGCe2BVyuqj1vkNJSBn,2019,204829,FALSE,Welcome to the End of Your Life,52.0,0.322,0.696,9.0,-7.384,1.0,0.0796,0.0378,0.0,0.093,0.345,142.085,4.0
13,https://open.spotify.com/track/00gLisxOrLruNwJFdpkHc2,00gLisxOrLruNwJFdpkHc2,2018,143355,FALSE,forget her,66.0,0.533,0.313,2.0,-16.827,1.0,0.033,0.631,0.681,0.072,0.517,148.926,4.0
14,https://open.spotify.com/track/00GOPLxW4PGQuUYdPJh8K1,00GOPLxW4PGQuUYdPJh8K1,2013,180675,TRUE,IV. Sweatpants,71.0,0.71,0.47,1.0,-9.33,0.0,0.142,0.154,0.0,0.643,0.581,80.027,4.0
15,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,00i0O74dXdaKKdCrqHnfXm,2015,211680,FALSE,La Mordidita (feat. Yotuel),69.0,0.725,0.903,0.0,-2.955,1.0,0.0658,0.0344,0.0,0.183,0.946,142.006,4.0
17,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf,00ko9WaS4jOX1kEk3gvHjf,2019,225923,TRUE,Hot Shower,72.0,0.899,0.509,9.0,-8.04,1.0,0.387,0.00157,0.0,0.0573,0.599,150.001,4.0
18,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,2002,204000,FALSE,Sk8er Boi,75.0,0.487,0.9,0.0,-4.417,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4.0
20,https://open.spotify.com/track/00okrW9OfjmG0PZJSY3fJd,00okrW9OfjmG0PZJSY3fJd,2020,151890,TRUE,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,0.636,8.0,-5.669,1.0,0.082,0.022,0.0,0.0908,0.152,158.058,4.0
21,https://open.spotify.com/track/00Onz80bx3KFwXcAcwZfH4,00Onz80bx3KFwXcAcwZfH4,2020,161893,FALSE,Mercury Rising,61.0,0.639,0.84,8.0,-3.998,1.0,0.0467,0.29,1.1e-06,0.154,0.548,109.98,4.0
22,https://open.spotify.com/track/00PVGsjnTVMQJQlxV4puoa,00PVGsjnTVMQJQlxV4puoa,2020,147913,TRUE,Yo Vengo De Barrio,66.0,0.762,0.667,10.0,-4.636,0.0,0.138,0.286,0.0,0.115,0.527,129.075,4.0
25,https://open.spotify.com/track/00qOE7OjRl0BpYiCiweZB2,00qOE7OjRl0BpYiCiweZB2,1981,259800,FALSE,Juke Box Hero,69.0,0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647,4.0
27,https://open.spotify.com/track/00R0fEFZGb5hyTgF1nrRCq,00R0fEFZGb5hyTgF1nrRCq,2020,248810,TRUE,Look Over Your Shoulder (feat. Kendrick Lamar),69.0,0.6,0.887,0.0,-4.345,1.0,0.311,0.0438,0.0,0.68,0.681,77.896,4.0
28,https://open.spotify.com/track/00s8dO3RWrFkBqC9JIy6ag,00s8dO3RWrFkBqC9JIy6ag,2019,192266,FALSE,Right Back Where We Started From,66.0,0.692,0.653,5.0,-5.715,1.0,0.0392,0.49,0.00707,0.455,0.901,148.018,4.0
29,https://open.spotify.com/track/00tH4M9saGo1Ikg0lVmwKQ,00tH4M9saGo1Ikg0lVmwKQ,2020,174336,FALSE,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",3.0,0.9,0.382,8.0,-12.37,0.0,0.414,0.34,0.0,0.14,0.514,99.965,4.0
31,https://open.spotify.com/track/00TYv5NLZkKXq5KJZ6LMDt,00TYv5NLZkKXq5KJZ6LMDt,2019,165720,TRUE,Picture This,61.0,0.831,0.604,0.0,-6.741,1.0,0.273,0.0316,0.0,0.091,0.406,87.955,4.0
33,https://open.spotify.com/track/00XB6UnshchPDNdCvXzokD,00XB6UnshchPDNdCvXzokD,2020,212547,FALSE,Ya No Quiero Andar Contigo,61.0,0.713,0.343,7.0,-7.891,1.0,0.0478,0.776,0.0,0.113,0.673,126.018,4.0
34,https://open.spotify.com/track/011ZwIM48eD8ee2UBpG8nK,011ZwIM48eD8ee2UBpG8nK,2020,392186,TRUE,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",63.0,0.691,0.524,5.0,-9.718,1.0,0.16,0.197,4.29e-05,0.488,0.41,164.047,4.0
35,https://open.spotify.com/track/013AWvizllIUEC2FOBzOnh,013AWvizllIUEC2FOBzOnh,1997,277266,FALSE,Truly Madly Deeply,74.0,0.555,0.698,0.0,-8.874,1.0,0.0287,0.403,0.0,0.0851,0.816,168.12,4.0
36,https://open.spotify.com/track/0158TMiGmHyibaDeaUKayX,0158TMiGmHyibaDeaUKayX,2010,209253,FALSE,She Won't Be Lonely Long,64.0,0.635,0.758,7.0,-5.772,1.0,0.0243,0.00643,0.0,0.229,0.322,113.002,4.0
37,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,017PF4Q3l4DBUiWoXk4OWT,2020,221820,FALSE,Break My Heart,85.0,0.73,0.729,4.0,-3.434,0.0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,4.0
38,https://open.spotify.com/track/018Idkvf82hi44UZmIXiGB,018Idkvf82hi44UZmIXiGB,2018,228146,FALSE,"Never Seen Anything ""Quite Like You"" - Acoustic",67.0,0.444,0.398,6.0,-8.01,1.0,0.03,0.799,0.0,0.114,0.361,79.874,3.0
41,https://open.spotify.com/track/01dVdmSV7eaVgRzUAi6o13,01dVdmSV7eaVgRzUAi6o13,2016,225960,FALSE,A Mí Me Esta Doliend,63.0,0.779,0.389,10.0,-6.278,1.0,0.0312,0.248,5.13e-06,0.0641,0.674,114.941,4.0
43,https://open.spotify.com/track/01gDLZsi0j5fWC28FLPNO8,01gDLZsi0j5fWC28FLPNO8,1970,535333,FALSE,Move on Up - Extended Version,64.0,0.584,0.975,11.0,-6.534,0.0,0.0651,0.141,0.501,0.101,0.876,138.341,4.0
44,https://open.spotify.com/track/01gj9t5gqjQrAiqixfUXdS,01gj9t5gqjQrAiqixfUXdS,2017,203011,TRUE,Killa,54.0,0.676,0.787,0.0,-6.175,0.0,0.246,0.199,0.0,0.175,0.601,119.986,4.0
48,https://open.spotify.com/track/01JPQ87UHeGysPVwTqMJHK,01JPQ87UHeGysPVwTqMJHK,2016,264097,TRUE,She Don't (feat. Ty Dolla $Ign),70.0,0.649,0.478,7.0,-7.503,0.0,0.0481,0.274,0.0,0.176,0.151,99.967,4.0
52,https://open.spotify.com/track/01MXkFA8sL7at6txavDErt,01MXkFA8sL7at6txavDErt,2018,341746,FALSE,Making Love Out of Nothing at All,71.0,0.388,0.72,7.0,-5.541,1.0,0.033,0.202,0.000288,0.283,0.554,141.283,4.0
53,https://open.spotify.com/track/01oxuDv2GsOoj6xxhaM8eL,01oxuDv2GsOoj6xxhaM8eL,2018,170546,FALSE,Shoulda Named It After Me,61.0,0.475,0.88,11.0,-3.572,1.0,0.0374,0.0111,0.0,0.161,0.403,167.996,4.0
56,https://open.spotify.com/track/01SMtfSbJlcxUdJvOofMOx,01SMtfSbJlcxUdJvOofMOx,2020,221546,TRUE,Jockey,76.0,0.598,0.556,7.0,-4.299,1.0,0.142,0.0979,0.000933,0.131,0.552,170.057,4.0
58,https://open.spotify.com/track/01TyFEZu6mHbffsVfxgrFn,01TyFEZu6mHbffsVfxgrFn,2018,215110,FALSE,Show Me How,72.0,0.791,0.267,5.0,-11.997,1.0,0.0415,0.674,0.534,0.102,0.544,165.99,4.0
59,https://open.spotify.com/track/01uqI4H13Gsd8Lyl1EYd8H,01uqI4H13Gsd8Lyl1EYd8H,2012,318525,FALSE,Same Love - feat. Mary Lambert,68.0,0.688,0.473,8.0,-9.059,1.0,0.167,0.716,4.46e-05,0.104,0.299,84.958,4.0
60,https://open.spotify.com/track/01UYpHuzHi4eB9PAbDoPY2,01UYpHuzHi4eB9PAbDoPY2,1972,205480,FALSE,Summer Breeze,65.0,0.49,0.581,5.0,-6.566,1.0,0.0388,0.553,0.0177,0.0764,0.318,88.718,4.0
61,https://open.spotify.com/track/01wKeKPgYxdPYA8rfMveYc,01wKeKPgYxdPYA8rfMveYc,2014,426996,TRUE,Shot You Down (feat. Jay Rock & ScHoolboy Q),55.0,0.682,0.717,1.0,-3.682,1.0,0.246,0.385,0.0,0.152,0.507,90.147,4.0
62,https://open.spotify.com/track/01wpPOPqQ3XyS6hBN00HfK,01wpPOPqQ3XyS6hBN00HfK,2016,246495,FALSE,In the Morning,58.0,0.709,0.757,1.0,-6.064,1.0,0.0356,0.0232,0.335,0.0791,0.166,123.006,4.0
64,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR,01z2fBGB8Hl3Jd3zXe4IXR,2018,161840,FALSE,Come Back to Earth,72.0,0.272,0.238,2.0,-12.148,0.0,0.0349,0.89,0.00925,0.275,0.119,83.507,4.0
66,https://open.spotify.com/track/021LIvL2dzb6FSX1mllbNh,021LIvL2dzb6FSX1mllbNh,2020,205733,FALSE,Plastic Hearts,65.0,0.551,0.756,2.0,-4.948,1.0,0.0652,0.0511,0.0,0.0765,0.618,175.984,4.0
67,https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8,021lWIHJrURZrmvYQ1xcM8,2020,207738,TRUE,All Bad (feat. Lil Uzi Vert),65.0,0.931,0.667,6.0,-7.043,0.0,0.318,0.0144,0.0,0.15,0.667,142.039,4.0
68,https://open.spotify.com/track/023OVLNzXhX0j7CxswUt6D,023OVLNzXhX0j7CxswUt6D,2015,180560,FALSE,Cheerleader - Felix Jaehn Remix Radio Edit,64.0,0.78,0.68,4.0,-6.081,1.0,0.0305,0.141,1.2e-05,0.138,0.594,118.026,4.0
70,https://open.spotify.com/track/0283eP3qI4fMOwPCZqPqJY,0283eP3qI4fMOwPCZqPqJY,2017,180000,TRUE,Rolling Up My Weed,55.0,0.83,0.45,5.0,-7.179,1.0,0.393,0.211,6.46e-05,0.116,0.206,159.945,4.0
72,https://open.spotify.com/track/02CQH5capUYovYSiSiwKgX,02CQH5capUYovYSiSiwKgX,2018,207222,TRUE,Bosses and Workers (feat. Don Q and Trap Manny),54.0,0.842,0.605,1.0,-6.293,0.0,0.0559,0.358,0.0,0.0843,0.591,130.027,4.0
73,https://open.spotify.com/track/02cyI9GE6GQqh60CZADM8v,02cyI9GE6GQqh60CZADM8v,2018,163500,FALSE,I need to paint my walls,61.0,0.779,0.288,0.0,-11.875,1.0,0.0555,0.816,0.903,0.108,0.164,134.992,4.0
75,https://open.spotify.com/track/02eD9ymfJOJOhM97HYp5R9,02eD9ymfJOJOhM97HYp5R9,2009,236626,FALSE,The House That Built Me,65.0,0.515,0.3,5.0,-8.005,1.0,0.0289,0.575,8.46e-06,0.115,0.206,81.12,4.0
76,https://open.spotify.com/track/02EVhVdjgWmpbTWSk5GZhO,02EVhVdjgWmpbTWSk5GZhO,2019,197893,FALSE,Sweatshirt,50.0,0.689,0.521,5.0,-5.718,1.0,0.0416,0.291,0.0,0.108,0.424,151.947,4.0
77,https://open.spotify.com/track/02Ey48n33H3erWJRZAtTFj,02Ey48n33H3erWJRZAtTFj,2017,230240,FALSE,This One's for You,61.0,0.499,0.497,11.0,-7.811,1.0,0.0449,0.444,1.41e-06,0.108,0.235,149.278,4.0
80,https://open.spotify.com/track/02GwPAncasVL82yC7y2hmN,02GwPAncasVL82yC7y2hmN,2001,286426,TRUE,Raise Up,55.0,0.735,0.844,1.0,-5.215,1.0,0.167,0.142,0.0,0.319,0.742,156.069,4.0
81,https://open.spotify.com/track/02ibK22WhjAVzKBm7da7lm,02ibK22WhjAVzKBm7da7lm,2017,149680,FALSE,God Rest Ye Merry Gentlemen,67.0,0.754,0.4,1.0,-8.832,0.0,0.0579,0.766,0.0,0.196,0.693,135.945,4.0
82,https://open.spotify.com/track/02iYJG3KLBJODa5JkQ4O6y,02iYJG3KLBJODa5JkQ4O6y,2020,156774,TRUE,hooligan,71.0,0.77,0.636,10.0,-7.636,0.0,0.0901,0.198,2.92e-06,0.115,0.414,93.032,3.0
83,https://open.spotify.com/track/02j2WP1Z4MX9jmwrgj66Og,02j2WP1Z4MX9jmwrgj66Og,2020,244610,TRUE,Designer Life,52.0,0.495,0.529,5.0,-8.083,0.0,0.0495,0.406,0.00114,0.118,0.275,132.212,5.0
85,https://open.spotify.com/track/02jcEwywffn3Tsb48fXmlW,02jcEwywffn3Tsb48fXmlW,2001,192533,FALSE,Get the Party Started,67.0,0.802,0.904,11.0,-3.267,0.0,0.0459,0.00108,0.0,0.173,0.961,128.931,4.0
87,https://open.spotify.com/track/02KpkaZbiutsR0ucxce4Sh,02KpkaZbiutsR0ucxce4Sh,1968,127733,FALSE,This Will Be Our Year,61.0,0.535,0.424,9.0,-7.491,1.0,0.0314,0.626,0.0,0.191,0.539,97.506,4.0
90,https://open.spotify.com/track/02lU0Hj680zVexT4GqJJZ4,02lU0Hj680zVexT4GqJJZ4,2020,223994,FALSE,Some Kind of Disaster,61.0,0.55,0.837,11.0,-5.411,1.0,0.044,0.0104,0.0,0.306,0.637,89.821,4.0
91,https://open.spotify.com/track/02M6vucOvmRfMxTXDUwRXu,02M6vucOvmRfMxTXDUwRXu,2014,213506,FALSE,7/11,71.0,0.747,0.705,9.0,-5.137,0.0,0.126,0.0128,0.0,0.126,0.56,136.024,4.0
92,https://open.spotify.com/track/02mQcDoU5cn15U6tqZmL4e,02mQcDoU5cn15U6tqZmL4e,1990,250075,FALSE,Disappear,42.0,0.645,0.88,9.0,-3.403,1.0,0.0329,0.0242,2.04e-06,0.0978,0.834,125.418,4.0
94,https://open.spotify.com/track/02mYw61RoS1vXvkD9Q5dpN,02mYw61RoS1vXvkD9Q5dpN,2020,154666,TRUE,BLINDFOLD (feat. Lil Baby),65.0,0.889,0.507,2.0,-8.74,1.0,0.162,0.0562,0.0,0.116,0.219,111.994,4.0
96,https://open.spotify.com/track/02nZeTbm2dRHisH6qsUM5E,02nZeTbm2dRHisH6qsUM5E,2020,200214,FALSE,Waiting For (feat. Jamila Woods),63.0,0.738,0.379,2.0,-11.644,0.0,0.084,0.201,1.1e-05,0.0806,0.598,122.042,4.0
100,https://open.spotify.com/track/02pQk9G1SnyBBVh9yOtxau,02pQk9G1SnyBBVh9yOtxau,2005,296286,FALSE,La Rumba Quimbumba,58.0,0.811,0.574,7.0,-9.001,1.0,0.0294,0.197,0.0,0.071,0.7,96.997,4.0
102,https://open.spotify.com/track/02shCNmb6IvgB5jLqKjtkK,02shCNmb6IvgB5jLqKjtkK,2016,208561,FALSE,Nevada,74.0,0.605,0.783,3.0,-4.271,1.0,0.0324,0.299,0.000175,0.133,0.105,124.015,4.0
103,https://open.spotify.com/track/02tvc9CFnTyHuSRlGeNv9w,02tvc9CFnTyHuSRlGeNv9w,2016,206974,TRUE,Corduroy Dreams,74.0,0.608,0.305,4.0,-14.037,1.0,0.053,0.653,0.0,0.103,0.222,113.818,4.0
105,https://open.spotify.com/track/02UJ1sCanP94fS2MdsWafh,02UJ1sCanP94fS2MdsWafh,2020,174306,TRUE,PERSIAN RUGS,69.0,0.768,0.428,1.0,-8.156,0.0,0.0459,0.0489,0.000491,0.105,0.147,110.478,4.0
106,https://open.spotify.com/track/02USe1i6J6fkRaCODAsi8A,02USe1i6J6fkRaCODAsi8A,2019,243200,FALSE,SO HIGH,48.0,0.516,0.799,4.0,-5.963,0.0,0.0328,0.0161,0.647,0.0876,0.0605,150.095,4.0
107,https://open.spotify.com/track/02W7gkxX3cgmddUQeUMwJe,02W7gkxX3cgmddUQeUMwJe,2007,278813,TRUE,Remember Everything,60.0,0.374,0.824,1.0,-4.07,0.0,0.0397,0.00927,0.0,0.11,0.12,161.976,4.0
109,https://open.spotify.com/track/02XlaBr5k34zLI1lG6uCSP,02XlaBr5k34zLI1lG6uCSP,2020,157721,TRUE,Broke Opps,61.0,0.868,0.528,1.0,-8.079,1.0,0.0817,0.147,0.000185,0.109,0.211,139.961,4.0
112,https://open.spotify.com/track/02zHAnnS0XhFyJxhCC449I,02zHAnnS0XhFyJxhCC449I,2020,189237,FALSE,Un camino solitario,57.0,0.62,0.132,2.0,-17.312,0.0,0.0496,0.95,0.912,0.117,0.46,92.914,4.0
113,https://open.spotify.com/track/02ZxMmzmXSjOSaHnKsN5ID,02ZxMmzmXSjOSaHnKsN5ID,2020,173175,FALSE,"Me, Myself & I",61.0,0.446,0.861,8.0,-6.765,1.0,0.0492,0.0176,0.00433,0.149,0.646,157.84,4.0
114,https://open.spotify.com/track/0301nLjG0ti26rx5ZmfqtP,0301nLjG0ti26rx5ZmfqtP,1991,250133,FALSE,Scenario,59.0,0.795,0.6,2.0,-14.004,1.0,0.341,0.112,0.000171,0.111,0.633,101.78,4.0
116,https://open.spotify.com/track/030OCtLMrljNhp8OWHBWW3,030OCtLMrljNhp8OWHBWW3,2010,224093,FALSE,Hey Daddy (Daddy's Home),60.0,0.59,0.698,11.0,-4.262,1.0,0.0286,0.000176,0.0,0.107,0.352,95.975,4.0
117,https://open.spotify.com/track/031uTUhyy6xmDJqmeWJBi9,031uTUhyy6xmDJqmeWJBi9,2010,319186,TRUE,God Hates Us,55.0,0.453,0.959,0.0,-6.121,0.0,0.119,0.000321,0.14,0.132,0.204,139.997,4.0
118,https://open.spotify.com/track/034KyQEk7IhbLtniVhBErj,034KyQEk7IhbLtniVhBErj,2020,160736,FALSE,17,73.0,0.558,0.364,5.0,-8.663,1.0,0.0502,0.169,9.94e-05,0.109,0.252,129.17,4.0
119,https://open.spotify.com/track/035c80VChyWqSTTP0gJwcc,035c80VChyWqSTTP0gJwcc,2020,145319,FALSE,Quality Street,45.0,0.398,0.232,11.0,-20.593,0.0,0.0381,0.656,0.974,0.0725,0.0703,120.031,4.0
120,https://open.spotify.com/track/0363Rz5nMpTlYWZ4kmjM2L,0363Rz5nMpTlYWZ4kmjM2L,2020,179306,FALSE,up to something,59.0,0.691,0.465,3.0,-8.061,0.0,0.0502,0.0829,1.58e-06,0.126,0.291,96.02,4.0
122,https://open.spotify.com/track/03cnsPsRHTam0fgyjtqCoj,03cnsPsRHTam0fgyjtqCoj,2020,202388,TRUE,Gangstas & Sippas (feat. Q Da Fool & YG) [Remix],35.0,0.902,0.452,11.0,-6.865,1.0,0.145,0.022,0.0546,0.11,0.194,100.521,4.0
123,https://open.spotify.com/track/03d8S7FBY2kIzhP0E7l4rn,03d8S7FBY2kIzhP0E7l4rn,2018,157693,FALSE,If I Know Me,72.0,0.777,0.604,8.0,-5.813,1.0,0.12,0.765,6.79e-05,0.11,0.672,99.934,4.0
124,https://open.spotify.com/track/03eJ2DclFWXYU8GWgANdmZ,03eJ2DclFWXYU8GWgANdmZ,2019,150475,TRUE,bad vibes forever,73.0,0.8,0.526,8.0,-5.153,1.0,0.0716,0.334,0.00174,0.0571,0.746,129.874,4.0
125,https://open.spotify.com/track/03f7xZmt2wHCIDJBFPK8G4,03f7xZmt2wHCIDJBFPK8G4,2015,209426,FALSE,Soap,69.0,0.595,0.689,6.0,-6.107,0.0,0.148,0.254,5.44e-06,0.129,0.213,168.112,4.0
127,https://open.spotify.com/track/03g5mx5ll888xKUf4KIXdK,03g5mx5ll888xKUf4KIXdK,2020,202985,FALSE,Gangstas & Sippas (feat. Q Da Fool & YG) [Remix],3.0,0.88,0.465,11.0,-6.912,1.0,0.223,0.0189,0.0316,0.121,0.183,100.551,4.0
128,https://open.spotify.com/track/03gQxQMXJxERoU4PRTRWfe,03gQxQMXJxERoU4PRTRWfe,2020,176385,TRUE,Tape Decks,46.0,0.646,0.636,11.0,-7.974,0.0,0.264,0.00498,3.07e-05,0.182,0.489,82.9,4.0
129,https://open.spotify.com/track/03HafJxG0ApNgQykxJMq51,03HafJxG0ApNgQykxJMq51,2020,234242,FALSE,White Noise 2kHz LPF,59.0,0.151,0.589,1.0,-32.137,1.0,0.0691,0.863,0.933,0.11,0.0261,135.501,4.0
131,https://open.spotify.com/track/03jdl5GTBhKsgB1Yw8mVPh,03jdl5GTBhKsgB1Yw8mVPh,2014,213576,FALSE,In Between,66.0,0.462,0.972,7.0,-2.642,0.0,0.138,0.00285,0.0,0.666,0.449,128.092,4.0
134,https://open.spotify.com/track/03mKusmRgpdZjf3O1FVd9R,03mKusmRgpdZjf3O1FVd9R,2020,116360,FALSE,Jifi,53.0,0.387,0.0294,3.0,-21.798,0.0,0.0519,0.981,0.913,0.112,0.543,50.659,5.0
135,https://open.spotify.com/track/03mMSLEJCPoGJwQhHpN5y0,03mMSLEJCPoGJwQhHpN5y0,2019,197346,FALSE,Treat People With Kindness,72.0,0.653,0.869,5.0,-3.725,1.0,0.0382,0.128,2.2e-05,0.046,0.697,122.017,4.0
138,https://open.spotify.com/track/03nPEoQOYMuDe7KmGljpmd,03nPEoQOYMuDe7KmGljpmd,2019,260000,TRUE,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",64.0,0.527,0.761,0.0,-4.708,1.0,0.341,0.073,0.0,0.0865,0.653,135.543,5.0
141,https://open.spotify.com/track/03sEzk1VyrUZSgyhoQR0LZ,03sEzk1VyrUZSgyhoQR0LZ,2019,713191,FALSE,Pneuma,66.0,0.417,0.529,9.0,-9.338,0.0,0.0315,0.00211,0.755,0.11,0.0561,114.116,1.0
142,https://open.spotify.com/track/03ThZweiBWFP8tOGsk6QMO,03ThZweiBWFP8tOGsk6QMO,2018,142497,TRUE,Russian Cream,68.0,0.867,0.774,11.0,-5.791,0.0,0.315,0.11,0.0,0.157,0.549,130.007,4.0
143,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H,03tqyYWC9Um2ZqU0ZN849H,2010,263773,TRUE,No Hands (feat. Roscoe Dash & Wale),75.0,0.76,0.595,1.0,-6.366,1.0,0.0391,0.00544,0.0,0.241,0.361,131.497,4.0
147,https://open.spotify.com/track/03XjE0nqkkQvktjlRXmsV6,03XjE0nqkkQvktjlRXmsV6,2020,177040,TRUE,nineteen,70.0,0.567,0.624,11.0,-7.033,0.0,0.0472,0.00851,0.000522,0.0954,0.289,131.983,4.0
149,https://open.spotify.com/track/03z360vKaWHm8h86zz9l0g,03z360vKaWHm8h86zz9l0g,2015,100071,FALSE,"Zelda's Lullaby (From ""The Legend of Zelda: Ocarina of Time"")",46.0,0.227,0.207,7.0,-11.286,1.0,0.0439,0.968,0.923,0.128,0.485,74.252,4.0
150,https://open.spotify.com/track/03ZkvqZOANKndGXfAAPywG,03ZkvqZOANKndGXfAAPywG,2018,234055,TRUE,Drown,66.0,0.674,0.615,0.0,-8.188,1.0,0.147,0.455,0.00091,0.208,0.756,85.048,4.0
153,https://open.spotify.com/track/041N5pEFrF7gun4YOPUWfJ,041N5pEFrF7gun4YOPUWfJ,1990,193400,FALSE,Creo Que Voy a Llorar,53.0,0.496,0.364,0.0,-13.686,1.0,0.0265,0.31,0.00117,0.105,0.326,78.793,4.0
156,https://open.spotify.com/track/045NQr6Xvm5o9YFUMwbMzG,045NQr6Xvm5o9YFUMwbMzG,2018,166880,FALSE,Make Out in My Car - Sufjan Stevens Version,64.0,0.547,0.379,5.0,-11.655,1.0,0.0308,0.973,0.0155,0.123,0.654,149.853,4.0
159,https://open.spotify.com/track/04AjweUXVAyVuPW2sm55cl,04AjweUXVAyVuPW2sm55cl,2020,211287,FALSE,Can't Quit Enough (Live),30.0,0.342,0.959,1.0,-3.755,1.0,0.0922,5.24e-05,0.834,0.737,0.584,123.36,4.0
160,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR,04bEhujOxzNrXeideMtFuR,2020,119431,TRUE,Never Satisfied,75.0,0.561,0.964,1.0,-6.593,1.0,0.522,0.0118,3.78e-06,0.875,0.452,160.088,4.0
161,https://open.spotify.com/track/04cD3ANEPAQLOW2RMXHXzO,04cD3ANEPAQLOW2RMXHXzO,2020,156000,FALSE,TURN ARROUND,46.0,0.457,0.439,8.0,-10.946,1.0,0.0264,0.796,0.911,0.106,0.321,77.713,4.0
166,https://open.spotify.com/track/04foOOT6Y9huxzueb6KNkF,04foOOT6Y9huxzueb6KNkF,2020,152894,TRUE,Killers,47.0,0.748,0.598,0.0,-7.265,1.0,0.0404,0.0839,0.00012,0.109,0.444,125.995,4.0
167,https://open.spotify.com/track/04FTCJKkMcFkTdGR7qC1Tm,04FTCJKkMcFkTdGR7qC1Tm,2020,193040,FALSE,wAnt me back,69.0,0.54,0.695,4.0,-4.16,1.0,0.0656,0.167,6.24e-05,0.11,0.667,156.133,4.0
168,https://open.spotify.com/track/04fX3oTJm5Zucg3Uf9aix0,04fX3oTJm5Zucg3Uf9aix0,1992,292186,TRUE,Fuck Wit Dre Day (And Everybody's Celebratin'),65.0,0.75,0.706,7.0,-7.461,1.0,0.156,0.088,0.0,0.535,0.59,93.603,4.0
171,https://open.spotify.com/track/04kCQmATnYeMObIw8Efnor,04kCQmATnYeMObIw8Efnor,2020,226960,FALSE,Whoever's in New England,54.0,0.487,0.151,11.0,-11.155,1.0,0.0377,0.781,0.0,0.109,0.414,137.412,4.0
173,https://open.spotify.com/track/04LCCxG3pbOYeENiyUc7Xb,04LCCxG3pbOYeENiyUc7Xb,2018,208299,FALSE,Black Rover,65.0,0.599,0.932,11.0,-5.622,1.0,0.0407,0.00215,0.0,0.146,0.539,102.065,4.0
174,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,04MLEeAMuV9IlHEsD8vF6A,2018,192172,TRUE,No Stylist (feat. Drake),70.0,0.765,0.704,5.0,-4.589,0.0,0.127,0.0215,0.0,0.227,0.498,147.055,4.0
